Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2011-01-31,24.05,24.12,23.5,24.1,830300.0,0.0,1.0,24.05,24.12,23.5,24.1,830300.0
2011-02-01,24.31,24.73,23.54,23.91,707800.0,0.0,1.0,24.31,24.73,23.54,23.91,707800.0
2011-02-02,24.16,24.18,23.669,23.94,569500.0,0.0,1.0,24.16,24.18,23.669,23.94,569500.0
2011-02-03,23.82,23.9,23.15,23.63,512000.0,0.0,1.0,23.82,23.9,23.15,23.63,512000.0
2011-02-04,23.44,23.67,23.22,23.46,544000.0,0.0,1.0,23.44,23.67,23.22,23.46,544000.0
2011-02-07,23.26,23.26,22.88,23.07,895100.0,0.0,1.0,23.26,23.26,22.88,23.07,895100.0
2011-02-08,23.78,25.25,23.0,24.49,3504900.0,0.0,1.0,23.78,25.25,23.0,24.49,3504900.0
2011-02-09,24.13,24.18,22.79,23.21,2635600.0,0.0,1.0,24.13,24.18,22.79,23.21,2635600.0
2011-02-10,23.26,23.64,22.81,23.215,836100.0,0.0,1.0,23.26,23.64,22.81,23.215,836100.0
2011-02-11,23.25,23.75,22.94,23.25,634500.0,0.0,1.0,23.25,23.75,22.94,23.25,634500.0
2011-02-14,23.64,24.14,23.05,23.08,1283100.0,0.0,1.0,23.64,24.14,23.05,23.08,1283100.0
2011-02-15,23.01,23.17,22.56,22.84,953700.0,0.0,1.0,23.01,23.17,22.56,22.84,953700.0
2011-02-16,23.1,24.97,23.0701,24.73,4115100.0,0.0,1.0,23.1,24.97,23.0701,24.73,4115100.0
2011-02-17,24.63,25.49,23.55,23.6,2618400.0,0.0,1.0,24.63,25.49,23.55,23.6,2618400.0
2011-02-18,23.33,23.49,22.96,23.18,2370700.0,0.0,1.0,23.33,23.49,22.96,23.18,2370700.0
2011-02-22,22.88,23.0,21.78,21.87,2064600.0,0.0,1.0,22.88,23.0,21.78,21.87,2064600.0
2011-02-23,22.18,22.5,21.11,21.83,1605600.0,0.0,1.0,22.18,22.5,21.11,21.83,1605600.0
2011-02-24,21.78,22.58,21.5,22.53,1055300.0,0.0,1.0,21.78,22.58,21.5,22.53,1055300.0
2011-02-25,22.81,23.85,22.69,23.61,1346300.0,0.0,1.0,22.81,23.85,22.69,23.61,1346300.0
2011-02-28,23.74,24.1,23.5,23.89,1051200.0,0.0,1.0,23.74,24.1,23.5,23.89,1051200.0
2011-03-01,24.05,24.32,23.7,23.94,1106400.0,0.0,1.0,24.05,24.32,23.7,23.94,1106400.0
2011-03-02,23.82,24.28,23.725,24.02,663300.0,0.0,1.0,23.82,24.28,23.725,24.02,663300.0
2011-03-03,24.48,24.79,24.06,24.36,640200.0,0.0,1.0,24.48,24.79,24.06,24.36,640200.0
2011-03-04,24.48,24.99,23.78,24.95,1580100.0,0.0,1.0,24.48,24.99,23.78,24.95,1580100.0
2011-03-07,24.93,25.4,24.7,24.94,2033600.0,0.0,1.0,24.93,25.4,24.7,24.94,2033600.0
2011-03-08,24.6,24.96,24.0,24.66,1399900.0,0.0,1.0,24.6,24.96,24.0,24.66,1399900.0
2011-03-09,24.66,24.99,24.27,24.72,924800.0,0.0,1.0,24.66,24.99,24.27,24.72,924800.0
2011-03-10,24.44,24.49,23.73,24.01,1017000.0,0.0,1.0,24.44,24.49,23.73,24.01,1017000.0
2011-03-11,23.85,24.25,23.53,24.07,930800.0,0.0,1.0,23.85,24.25,23.53,24.07,930800.0
2011-03-14,23.82,24.0,23.2,23.25,1166000.0,0.0,1.0,23.82,24.0,23.2,23.25,1166000.0
2011-03-15,22.2,22.96,21.8,22.95,1318800.0,0.0,1.0,22.2,22.96,21.8,22.95,1318800.0
2011-03-16,22.86,23.25,22.69,22.82,1169700.0,0.0,1.0,22.86,23.25,22.69,22.82,1169700.0
2011-03-17,23.24,23.43,22.64,22.81,922600.0,0.0,1.0,23.24,23.43,22.64,22.81,922600.0
